rank,MAE,RAE,R2,Spearman,Kendall,N,file
21,0.4474020634107515,0.5601889040047602,0.5431795131153869,0.8476875763146255,0.6569138772653162,253,blend3_um8f28_cp28_um2945.csv
22,0.44744656289151513,0.5602446214843975,0.5455723318329899,0.8475590090119511,0.6570394522000385,253,blend3_um8f40_cp50_um2910.csv
23,0.4476110624787478,0.5604505902338006,0.5475721136383775,0.8483941407128969,0.6579184767430936,253,blend3_um8f45_cp45_um2910.csv
24,0.4476397519102865,0.5604865120645754,0.543990891392409,0.8472922411216757,0.6565371524611499,253,blend3_um8f30_cp25_um2945.csv
25,0.44792885353330997,0.560848494126332,0.550472916199176,0.8485545719580208,0.6569138772653162,253,blend3_um8f50_cp30_um2920.csv
26,0.44801531329596883,0.5609567497729759,0.5416637686895902,0.8465097219768677,0.6560348527222611,253,blend3_um8f25_cp25_um2950.csv
27,0.4480551969688522,0.5610066878327825,0.55003726880306,0.8484074791074107,0.6577929018083714,253,um8f50_cp35_um2948_15.csv
28,0.4480762401391143,0.561033035834837,0.548824510576998,0.8491870341645489,0.6580440516778158,253,um8f40_cp35_um2948_15_um15f10.csv
29,0.4481357574695692,0.5611075570560013,0.5481300715881126,0.8502296520023754,0.6594253759597595,253,um8f35_cp35_um2948_15_um15f15.csv
30,0.4481459520248001,0.5611203215852439,0.5398486805823823,0.8459810028387802,0.6559720652549,253,blend3_um8f20_cp30_um2950.csv
31,0.44814876410699545,0.5611238425731245,0.5481829115047196,0.8494708455589253,0.6583579890146212,253,um8f38_cp38_um2948_12_um15f12.csv
32,0.4481966582876859,0.5611838105321112,0.5481311577569579,0.8493808113959572,0.6586719263514266,253,um8f40_cp40_um2948_10_um15f10.csv
33,0.448205478664572,0.5611948544625371,0.5492846710898504,0.8477820566090981,0.6584207764819823,253,blend3_um8f50_cp40_um2910.csv
34,0.44858914531582506,0.5616752407156316,0.5431916324428829,0.8461266136455554,0.6560976401896221,253,blend3_um8f30_cp20_um2950.csv
35,0.44893728968456886,0.5621111497744214,0.5489668083527354,0.8498043054217694,0.658985863688232,253,um8f40_cp35_um2948_10_um15f15.csv
36,0.449010271123923,0.5622025293094483,0.5482683299067053,0.8497561389971364,0.6588602887535098,253,um8f35_cp35_um2948_10_um15f20.csv
37,0.44901837497797487,0.5622126760867896,0.5468286247121503,0.8439368938795445,0.6533349916257347,253,blend_unimol5_chemprop5.csv
38,0.4490661391278261,0.5622724812350983,0.5445237512834323,0.84822296464997,0.6577929018083714,253,um8f30_cp50_um15f20.csv
